string,x,y
679,-420.0,0.0
680,-380.0,0.0
681,-340.0,0.0
682,-300.0,0.0
683,-260.0,0.0
684,-220.0,0.0
685,-180.0,0.0
686,-140.0,0.0
687,-100.0,0.0
688,-60.0,0.0
689,-20.0,0.0
690,20.0,0.0
691,60.0,0.0
692,100.0,0.0
693,140.0,0.0
694,180.0,0.0
695,220.0,0.0
696,260.0,0.0
697,300.0,0.0
698,340.0,0.0
699,380.0,0.0
700,420.0,0.0
701,460.0,0.0
702,500.0,0.0
703,540.0,0.0
704,580.0,0.0
705,620.0,0.0
706,660.0,0.0
707,700.0,0.0
708,740.0,0.0
709,780.0,0.0
710,-760.0,34.6
711,-720.0,34.6
712,-680.0,34.6
713,-640.0,34.6
714,-600.0,34.6
715,-560.0,34.6
716,-520.0,34.6
717,-480.0,34.6
718,-440.0,34.6
719,-400.0,34.6
720,-360.0,34.6
721,-320.0,34.6
722,-280.0,34.6
723,-240.0,34.6
724,-200.0,34.6
725,-160.0,34.6
726,-120.0,34.6
727,-80.0,34.6
728,-40.0,34.6
729,0.0,34.6
730,40.0,34.6
731,80.0,34.6
732,120.0,34.6
733,160.0,34.6
734,200.0,34.6
735,240.0,34.6
736,280.0,34.6
737,320.0,34.6
738,360.0,34.6
739,400.0,34.6
740,440.0,34.6
741,480.0,34.6
742,520.0,34.6
743,560.0,34.6
744,600.0,34.6
745,640.0,34.6
746,680.0,34.6
747,720.0,34.6
748,760.0,34.6
749,-740.0,69.3
750,-700.0,69.3
751,-660.0,69.3
752,-620.0,69.3
753,-580.0,69.3
754,-540.0,69.3
755,-500.0,69.3
756,-460.0,69.3
757,-420.0,69.3
758,-380.0,69.3
759,-340.0,69.3
760,-300.0,69.3
761,-260.0,69.3
762,-220.0,69.3
763,-180.0,69.3
764,-140.0,69.3
765,-100.0,69.3
766,-60.0,69.3
767,-20.0,69.3
768,20.0,69.3
769,60.0,69.3
770,100.0,69.3
771,140.0,69.3
772,180.0,69.3
773,220.0,69.3
774,260.0,69.3
775,300.0,69.3
776,340.0,69.3
777,380.0,69.3
778,420.0,69.3
779,460.0,69.3
780,500.0,69.3
781,540.0,69.3
782,580.0,69.3
783,620.0,69.3
784,660.0,69.3
785,700.0,69.3
786,740.0,69.3
787,-760.0,103.9
788,-720.0,103.9
789,-680.0,103.9
790,-640.0,103.9
791,-600.0,103.9
792,-560.0,103.9
793,-520.0,103.9
